,name,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
395,Studiosessie 276 - 101Barz - Pt. 1,True,18,0.6,0.523,2,-11.743,1,0.42,0.0469,0.0,0.126,0.444,151.982
396,La Blanca,True,0,0.9,0.731,0,-7.111,0,0.19,0.0511,0.0,0.332,0.595,105.954
397,Hocus Pocus,True,2,0.482,0.619,5,-5.778,0,0.22,0.488,0.0,0.0875,0.271,74.676
398,Wintersessie 2019 - 101Barz - Pt. 2,False,37,0.843,0.725,10,-9.985,0,0.103,0.197,0.0,0.116,0.444,108.942
399,Klittenband,False,22,0.726,0.751,2,-7.048,0,0.289,0.455,0.0,0.158,0.416,89.715
400,Mulala,True,39,0.839,0.719,9,-6.492,0,0.264,0.483,0.000249,0.0853,0.447,107.98
401,Scherven,False,0,0.652,0.553,10,-9.341,0,0.211,0.145,7.33e-05,0.624,0.253,135.877
402,Wintersessie 2019 - 101Barz - Pt. 1,False,39,0.65,0.545,7,-9.977,1,0.369,0.277,0.0,0.087,0.662,108.445
403,Vaccin,True,36,0.38,0.904,2,-5.645,1,0.541,0.0974,0.0,0.18,0.721,191.608
404,Waar Ik Morgen Ben,True,51,0.692,0.642,9,-4.708,0,0.251,0.192,0.0,0.187,0.604,85.064
405,Driewieler,True,47,0.802,0.834,7,-5.245,0,0.292,0.02,0.0,0.0772,0.961,89.975
406,Lange dagen,True,30,0.827,0.741,10,-4.732,0,0.27,0.318,0.0,0.214,0.798,99.151
407,Moeilijke Som,True,0,0.73,0.679,11,-6.832,0,0.484,0.279,0.0,0.0951,0.505,189.618
408,Hete Tijden,True,0,0.869,0.696,10,-8.304,1,0.209,0.0221,0.0,0.152,0.421,100.945
409,Ik Vergeet Dit Niet,True,36,0.874,0.666,0,-4.642,1,0.249,0.000667,0.0,0.185,0.726,118.066
410,Saaf Slaaf,True,36,0.771,0.956,1,-5.161,1,0.207,0.0962,0.0,0.332,0.657,126.977
411,Je Kan Niks Doen,False,27,0.777,0.823,2,-4.597,1,0.249,0.00828,4.86e-05,0.192,0.649,95.003
